term,estimate,std.error,statistic,p.value
(Intercept),4.3201706222825145,0.06273838848827216,68.86008274009292,0
season,0.16231464695630127,0.010942479340725834,14.833443308610775,2.2508722219819835e-49
holiday,-0.19727189003694925,0.06826314803352512,-2.889873902974206,0.0038603258249749113
workingday,-0.05996713266229705,0.024996721760117666,-2.398999886376091,0.01645388803179649
weathersit,0.129959663782104,0.019561410602808037,6.643675470083344,3.181198730194845e-11
temp,2.540740342766301,0.062036745704040476,40.95540979675892,0
hum,-2.6681250832526286,0.06873054309866836,-38.82007857005168,4.82828311667e-312
windspeed,0.43887244499869754,0.09777852803205388,4.488433747487238,7.2364220263252835e-6
